ID,Salary,DOJ,DOL,Designation,JobCity,Gender,10percentage,10board,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Dyear,12gyear,gyear,12GradAge,GradAge
203097,420000,2012-06-01,present,senior quality engineer,Bangalore,f,84.3,"board ofsecondary education,ap",95.8,state,1141,2,B.Tech/B.E.,CS,78.0,1141,1.0,Andhra Pradesh,515,585,525,0.635978756456794,445.0,333.0,407.0,407.0,433.0,356.0,348.0,0.9737,0.8128,0.5269,1.3549,-0.4455,1990,1970,1970,20,20
579905,500000,2013-09-01,present,assistant manager,Indore,m,85.4,cbse,85.0,cbse,5807,2,B.Tech/B.E.,EC,70.06,5807,1.0,Madhya Pradesh,695,610,780,0.960603251997053,455.0,466.0,407.0,407.0,433.0,356.0,348.0,-0.7335,0.3789,1.2396,-0.1076,0.8637,1989,1970,1970,19,19
810601,325000,2014-06-01,present,systems engineer,Chennai,f,85.0,cbse,68.2,cbse,64,2,B.Tech/B.E.,CS,70.0,64,1.0,Uttar Pradesh,615,545,370,0.450876584483451,395.0,333.0,407.0,407.0,433.0,356.0,348.0,0.2718,1.7109,0.1637,-0.8682,0.6721,1992,1970,1970,22,22
343523,200000,2014-03-01,2015-03-01 00:00:00,get,Manesar,m,78.0,cbse,76.8,cbse,11368,2,B.Tech/B.E.,EC,73.9,11368,1.0,Uttar Pradesh,545,625,465,0.124502074009537,455.0,233.0,407.0,407.0,433.0,356.0,348.0,-0.880999999999999,-0.2793,-1.0697,0.0916299999999999,-0.1295,1991,1970,1970,21,21
1027655,300000,2014-06-01,present,system engineer,Hyderabad,m,89.92,state board,87.0,state,5086,2,B.Tech/B.E.,EC,76.32,5086,1.0,Karnataka,560,555,620,0.649389714846691,645.0,333.0,407.0,407.0,433.0,356.0,348.0,-0.3027,-0.6201,-2.2954,-0.7415,-0.8608,1992,1970,1970,22,22
947847,300000,2014-08-01,2015-05-01 00:00:00,java software engineer,Banglore,m,86.08,state board,67.5,state,314,2,B.Tech/B.E.,CS,72.98,314,1.0,Karnataka,590,435,380,0.356536487724475,405.0,333.0,346.0,407.0,433.0,356.0,348.0,1.7081,-0.1054,-1.0379,-2.0092,-1.0872,1993,1970,1970,23,23
912934,400000,2014-07-01,2015-07-01 00:00:00,mechanical engineer,Bangalore,m,92.0,cbse,91.0,cbse,1757,1,B.Tech/B.E.,ME,85.8,1757,1.0,Tamil Nadu,545,555,590,0.829584599793067,455.0,333.0,407.0,469.0,433.0,356.0,348.0,-0.0154,1.2114,0.01,0.1459,1.247,1992,1970,1970,22,22
552574,600000,2013-07-01,present,electrical engineer,Noida,m,90.0,cbse,91.2,cbse,13,1,B.Tech/B.E.,EC,85.03,13,1.0,Delhi,615,670,530,0.694479327708463,735.0,366.0,407.0,407.0,433.0,356.0,348.0,-0.159,0.5454,-0.6048,-0.7415,-0.2859,1991,1970,1970,21,21
1203363,230000,2014-07-01,present,project engineer,Kolkata,m,77.0,cbse,72.2,cbse,8640,2,B.Tech/B.E.,EC,78.0,8640,1.0,West Bengal,605,565,545,0.493596387301038,385.0,324.0,407.0,407.0,433.0,356.0,348.0,-1.308,0.5454,-0.9122,0.9066,0.0973,1993,1970,1970,23,23
87291,600000,2011-04-01,2015-04-01 00:00:00,senior php developer,Bangalore,m,88.6,mp board bhopal,83.7,state,403,2,B.Tech/B.E.,CS,74.9,403,1.0,Madhya Pradesh,565,455,565,0.765673581234011,485.0,333.0,407.0,407.0,433.0,356.0,348.0,0.0464,0.8128,0.0914,0.1798,0.0284,1989,1970,1970,19,19
190393,450000,2011-08-01,2014-10-01 00:00:00,senior systems engineer,Pune,m,81.0,cbse,86.0,cbse,4441,1,B.Tech/B.E.,CS,72.29,4441,1.0,Madhya Pradesh,495,605,715,0.968237495890543,605.0,333.0,407.0,407.0,433.0,356.0,348.0,-2.272,1.1248,0.8171,-0.4078,-0.4455,1990,1970,1970,20,20
606655,270000,2013-12-01,present,quality assurance engineer,Pune,m,83.6,state board,69.83,state,2665,2,B.Tech/B.E.,EC,60.0,2665,1.0,Maharashtra,380,580,470,0.229481754911755,455.0,266.0,407.0,407.0,433.0,206.0,348.0,0.1282,0.5454,-0.7585,-0.995,0.8637,1990,1970,1970,20,20
431800,200000,2014-01-01,present,qa analyst,Gurgaon,m,60.8,cbse,62.4,cbse,5232,2,B.Tech/B.E.,EC,60.0,5232,1.0,Haryana,495,425,645,0.538386892985096,385.0,333.0,407.0,407.0,433.0,356.0,348.0,0.3555,0.0328,-0.598,-0.2902,-1.2354,1990,1970,1970,20,20
1279958,300000,2013-07-01,present,java software engineer,Bangalore,m,81.2,state board,79.9,state,64,2,B.Tech/B.E.,EC,67.67,64,1.0,Uttar Pradesh,395,565,645,0.649389714846691,495.0,333.0,376.0,407.0,433.0,356.0,348.0,0.7027,0.7119,0.01,-0.995,0.6721,1992,1970,1970,22,22
536517,350000,2013-08-01,present,network engineer,,f,69.54,icse,64.43,icse,4501,2,B.Tech/B.E.,CS,63.0,4501,1.0,Uttar Pradesh,485,520,355,0.308400582860308,355.0,333.0,407.0,407.0,433.0,356.0,348.0,1.7465,1.9048,0.672,-0.2902,1.2528,1990,1970,1970,20,20
1087625,325000,2014-09-01,present,product development engineer,Noida,m,85.8,cbse,74.8,cbse,13473,2,B.Tech/B.E.,EC,64.8,13473,1.0,Uttar Pradesh,685,530,620,0.649389714846691,515.0,333.0,407.0,407.0,433.0,356.0,348.0,1.1336,1.0449,0.7785,-0.6147,-0.8608,1992,1970,1970,22,22
874596,250000,2013-08-01,2014-09-01 00:00:00,associate software developer,Gurgaon,m,60.8,cbse,66.66,cbse,41,2,MCA,CS,74.74,41,1.0,Delhi,465,585,515,0.911395278391328,545.0,333.0,500.0,407.0,433.0,356.0,348.0,0.8463,1.0449,-1.0659,-1.6289,0.6721,1987,1970,1970,17,17
711342,120000,2014-01-01,2014-06-01 00:00:00,data entry operator,Gurgaon,m,65.0,state board,64.8,icse,184,2,B.Tech/B.E.,CS,69.54,184,1.0,Uttar Pradesh,465,495,515,0.563267823666597,425.0,333.0,407.0,407.0,433.0,356.0,348.0,-0.159,0.3789,1.3933,-0.2344,1.4386,1992,1970,1970,22,22
466888,325000,2014-09-01,present,software engineer,Pune,f,79.0,cbse,62.2,cbse,7977,2,B.Tech/B.E.,CS,76.3,7977,1.0,Uttar Pradesh,485,445,435,0.864685413370085,525.0,333.0,407.0,407.0,433.0,356.0,348.0,0.8192,0.2668,-0.2714,-0.4078,-0.1295,1990,1970,1970,20,20
